*->Kasvatus,*->Vuosi,*->Ika,*->N,*->PPA,*->Hg,*->Dg,*->Hdom,*->Tilavuus,*->Tukki,*->Kuitu,*->Hukka,*->Tuotos,*->Kuolleisuus,*->runko(*->aines),*->runko(*->hukka),*->elavat oksat,*->kuolleet oksat,*->lehdet,*->Kannot,*->Juuret >2mm,*->Hienojuuret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,48,49,1251.37,28.89,16.46,18.58,19.28,237.59,95.71,134.69,7.19,294.7,2.01,88.284,2.844,21.208,4.057,16.215,6.94,28.046,1.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,51,52,1241.45,31.15,17.22,19.36,20.16,267.81,121.47,139.34,7,325.4,2.45,99.913,2.765,22.973,4.479,17.224,7.694,30.766,1.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,51,52,869.55,23.42,17.56,19.95,20.13,204.68,101.57,98.33,4.77,325.4,2.45,76.242,1.871,17.984,3.381,13.324,5.907,23.434,1.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,56,57,862.94,27,18.83,21.48,21.53,251.9,149.52,97.83,4.55,373.1,2.89,94.147,1.778,21.519,4.014,15.4,7.167,27.889,1.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,61,62,856.37,30.48,20,22.87,22.84,300.75,197.32,99.07,4.36,422.5,3.44,112.633,1.697,24.46,4.646,16.866,8.455,32.346,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,63,64,854.97,31.79,20.43,23.38,23.32,319.8,211.02,104.48,4.3,441.6,3.56,119.846,1.673,25.538,4.888,17.379,8.953,34.047,1.846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,63,64,595.95,23.89,20.84,24.15,23.29,243.89,169.02,71.95,2.92,441.6,3.56,91.092,1.129,19.842,3.675,13.262,6.884,25.955,1.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,68,69,594.27,26.89,21.91,25.63,24.45,286.52,225.03,58.67,2.82,484.5,3.81,106.999,1.085,23.171,4.197,15.015,8.073,29.946,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,73,74,592.96,29.91,22.92,27.03,25.53,330.78,271.86,56.18,2.73,529,4.06,123.46,1.049,25.832,4.724,16.147,9.31,34.031,2.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,78,592.23,32.2,23.65,28.05,26.32,365.47,309.77,53.03,2.68,563.9,4.25,136.358,1.027,27.778,5.128,16.92,10.276,37.175,2.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,0,5,0,0,0,0,0,4.08,0.41,0.02,563.9,4.25,1.659,0.007,0.354,0.06,0.199,0.131,0.46,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
