*->Kasvatus,*->Vuosi,*->Ika,*->N,*->PPA,*->Hg,*->Dg,*->Hdom,*->Tilavuus,*->Tukki,*->Kuitu,*->Hukka,*->Tuotos,*->Kuolleisuus,*->runko(*->aines),*->runko(*->hukka),*->elavat oksat,*->kuolleet oksat,*->lehdet,*->Kannot,*->Juuret >2mm,*->Hienojuuret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,46,47,1150.38,20.77,14,16.25,16.04,144.64,28.49,109.19,6.96,201.7,2.56,53.85,2.795,14.596,2.614,11.586,4.579,19.122,0.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,51,52,1142.18,24.35,15.17,17.7,17.33,182.94,62.1,114.32,6.51,240.8,3.27,68.882,2.604,17.325,3.176,13.184,5.67,23.21,1.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,56,57,1133.23,27.7,16.23,19.01,18.51,222.01,95.55,120.2,6.26,280.8,4.2,84.115,2.503,19.842,3.726,14.54,6.762,27.212,1.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,58,59,1131.66,28.98,16.62,19.47,18.95,237.51,104.06,127.26,6.19,296.4,4.37,90.152,2.474,20.777,3.939,15.02,7.192,28.765,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,58,59,664.93,19.01,17.06,20.37,18.92,159.04,80.25,75.32,3.48,296.4,4.37,60.189,1.376,14.305,2.599,10.121,4.866,19.223,0.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,63,64,661.57,21.74,18.05,21.85,19.95,191.14,111.06,76.74,3.33,329.1,4.91,72.467,1.314,17.207,3.024,11.753,5.844,22.671,1.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,68,69,658.11,24.55,18.97,23.28,20.93,225.32,156.76,65.36,3.2,363.9,5.56,85.477,1.259,19.738,3.462,12.962,6.895,26.304,1.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,73,74,654.49,27.27,19.83,24.6,21.83,259.76,193.58,63.08,3.09,399.1,6.34,98.549,1.213,21.959,3.891,13.882,7.956,29.906,1.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,78,79,650.68,29.86,20.61,25.82,22.66,293.67,229.48,61.19,3,433.9,7.26,111.398,1.174,23.998,4.301,14.66,9.004,33.402,1.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,82,83,648.11,31.84,21.18,26.72,23.26,320.21,257.69,59.59,2.94,461.2,7.94,121.444,1.149,25.501,4.616,15.194,9.827,36.114,2.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,82,0,5,0,0,0,0,0,0,1.57,0.02,461.2,7.94,0.803,0.01,0.086,0.006,0.02,0.044,0.179,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
