*->Kasvatus,*->Vuosi,*->Ika,*->N,*->PPA,*->Hg,*->Dg,*->Hdom,*->Tilavuus,*->Tukki,*->Kuitu,*->Hukka,*->Tuotos,*->Kuolleisuus,*->runko(*->aines),*->runko(*->hukka),*->elavat oksat,*->kuolleet oksat,*->lehdet,*->Kannot,*->Juuret >2mm,*->Hienojuuret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,46,47,1202.94,25.44,15.9,17.73,18.79,202.9,75.43,120.39,7.08,265.1,1.61,75.095,2.778,18.537,3.555,14.561,5.931,24.207,1.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,51,52,1197.85,29.24,17.2,19.1,20.3,251.94,118.05,127.07,6.82,314.6,2.05,93.961,2.677,21.486,4.248,16.291,7.165,28.704,1.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,54,55,1195.72,31.37,17.91,19.83,21.14,281.21,143.94,130.57,6.7,344,2.25,105.228,2.63,23.102,4.649,17.19,7.883,31.281,1.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,54,55,839.25,23.74,18.31,20.51,21.11,216.81,120.21,92.02,4.58,344,2.25,80.981,1.791,18.248,3.529,13.385,6.109,24.036,1.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,59,60,837.03,27.09,19.51,21.95,22.45,262.28,157.96,99.91,4.41,389.8,2.53,98.237,1.72,21.573,4.129,15.331,7.303,28.227,1.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,64,65,834.59,30.36,20.62,23.28,23.69,309.27,217.25,87.77,4.26,437.1,2.9,116.04,1.66,24.28,4.728,16.653,8.524,32.435,1.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,66,67,834.16,31.59,21.03,23.76,24.15,327.57,235.82,87.54,4.22,455.5,2.97,122.979,1.642,25.273,4.958,17.117,8.994,34.039,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,66,67,580.51,23.89,21.5,24.62,24.13,251.82,190.16,58.81,2.86,455.5,2.97,94.201,1.105,19.804,3.751,13.149,6.975,26.151,1.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,71,72,579.6,26.7,22.52,26.03,25.24,292.72,232.75,57.2,2.76,496.6,3.16,109.478,1.067,22.941,4.246,14.8,8.099,29.906,1.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,76,77,578.65,29.54,23.49,27.37,26.28,335.17,276.28,56.21,2.69,539.3,3.4,125.285,1.035,25.412,4.748,15.843,9.267,33.748,2.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,79,80,578.29,31.15,24.02,28.11,26.86,359.99,302.24,55.1,2.65,564.2,3.49,134.528,1.019,26.764,5.035,16.378,9.947,35.959,2.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,79,0,5,0,0,0,0,0,4.1,0.43,0.02,564.2,3.49,1.676,0.008,0.347,0.06,0.197,0.129,0.453,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
